what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1347774374310
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1347774374312
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1347774374452
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1347774374455
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1347774374491
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1347774374533
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1347774374538
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1347774374540
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1347774374540
os,sysinfo,,,"win32",1347774374549
arch,sysinfo,,,"x86",1347774374549
ws,sysinfo,,,"win32",1347774374549
locale,sysinfo,,,"en_US",1347774374549
processors,sysinfo,,,"2",1347774374549
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347774374549
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1347774374549
java.specification.name,sysinfo,,,"Java Platform API Specification",1347774374549
java.specification.vendor,sysinfo,,,"Oracle Corporation",1347774374549
java.specification.version,sysinfo,,,"1.7",1347774374549
java.vendor,sysinfo,,,"Oracle Corporation",1347774374549
java.version,sysinfo,,,"1.7.0_05",1347774374549
java.vm.info,sysinfo,,,"mixed mode",1347774374549
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1347774374549
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347774374549
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1347774374549
java.vm.specification.version,sysinfo,,,"1.7",1347774374549
java.vm.vendor,sysinfo,,,"Oracle Corporation",1347774374549
java.vm.version,sysinfo,,,"23.1-b03",1347774374549
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1347774374612
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1347774376454
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1347774376862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347774385547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347775013197
