what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1351516065322
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1351516065374
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1351516065376
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1351516065402
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1351516065485
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1351516065486
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1351516065486
os,sysinfo,,,"win32",1351516065491
arch,sysinfo,,,"x86",1351516065492
ws,sysinfo,,,"win32",1351516065492
locale,sysinfo,,,"en_US",1351516065492
processors,sysinfo,,,"2",1351516065492
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351516065492
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1351516065492
java.specification.name,sysinfo,,,"Java Platform API Specification",1351516065492
java.specification.vendor,sysinfo,,,"Oracle Corporation",1351516065492
java.specification.version,sysinfo,,,"1.7",1351516065492
java.vendor,sysinfo,,,"Oracle Corporation",1351516065492
java.version,sysinfo,,,"1.7.0_05",1351516065492
java.vm.info,sysinfo,,,"mixed mode",1351516065492
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1351516065492
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351516065492
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1351516065492
java.vm.specification.version,sysinfo,,,"1.7",1351516065492
java.vm.vendor,sysinfo,,,"Oracle Corporation",1351516065492
java.vm.version,sysinfo,,,"23.1-b03",1351516065492
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1351516065573
