what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351708270210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708272894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708274314
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1351708274330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708274690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708276179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708284489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708286271
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1351708286288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708286576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708292839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708345085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708346641
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1351708346657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708346945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708348371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708453259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1351708453334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708473196
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351708474723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708476385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1351708476459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708487821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351708503150
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351708508159
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351708515332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351708526443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708535530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708853757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351708856430
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351708859730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351708867429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708889238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708914233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708940598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351708954377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351709119061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351709272431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351709284753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351709435667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351709437052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351709437628
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351709438164
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1351709440261
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1351709441305
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1351709441345
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1351709441380
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1351709441437
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1351709441485
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1351709441538
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1351709441577
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1351709441577
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1351709441613
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1351709441613
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1351709441627
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1351709441656
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1351709441726
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1351709441726
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1351709441796
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1351709441884
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1351709441966
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1351709442075
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1351709442206
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1351710293520
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1351710293523
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1351710293525
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1351710293526
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1351710293527
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1351710293529
