what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1349282933984
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1349282933987
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1349282933990
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1349282933991
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1349282933993
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1349282933993
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1349282933994
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1349282933997
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1349282934000
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1349282934002
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1349282934003
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1349282934005
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1349282934007
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1349282934009
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1349282934010
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1349282934012
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1349282934016
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1349282934019
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1349282934021
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1349282934021
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1349282934023
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1349282934028
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1349282934029
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1349282934031
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1349282934033
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1349282934039
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1349282934040
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1349282934040
os,sysinfo,,,"win32",1349282934047
arch,sysinfo,,,"x86",1349282934047
ws,sysinfo,,,"win32",1349282934047
locale,sysinfo,,,"en_US",1349282934047
processors,sysinfo,,,"2",1349282934047
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349282934047
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1349282934047
java.specification.name,sysinfo,,,"Java Platform API Specification",1349282934047
java.specification.vendor,sysinfo,,,"Oracle Corporation",1349282934047
java.specification.version,sysinfo,,,"1.7",1349282934047
java.vendor,sysinfo,,,"Oracle Corporation",1349282934047
java.version,sysinfo,,,"1.7.0_05",1349282934047
java.vm.info,sysinfo,,,"mixed mode",1349282934047
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349282934047
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349282934047
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1349282934047
java.vm.specification.version,sysinfo,,,"1.7",1349282934047
java.vm.vendor,sysinfo,,,"Oracle Corporation",1349282934047
java.vm.version,sysinfo,,,"23.1-b03",1349282934047
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1349282934055
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1349282934241
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1349282934256
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1349282934259
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1349282934261
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1349282934275
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1349282935331
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1349282935556
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1349282936367
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349282939794
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1349282941232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349282975871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283043140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283043550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283061756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283071818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283090152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349283100088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283101839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283114227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349283123993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283125421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283140146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349283145575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283146735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283164315
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1349283166241
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1349283166319
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1349283166551
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1349283166626
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1349283166698
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1349283167074
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1349283167093
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1349283167262
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1349283167301
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1349283167959
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1349283168083
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1349283168692
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1349283169466
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1349283169584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1349283169844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349283170468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283175944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283413271
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1349283415352
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1349283415504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349283415604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349283439951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349283442586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284009545
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349284011688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349284012508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284013614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284114194
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349284115118
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1349284116362
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1349284117759
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1349284118261
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349284121295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284151764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284173959
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349284174128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284183755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284199106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284200891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284208300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284209948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284427533
opened,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1349284431005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284434273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284590954
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349284592282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349284594397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284595980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284740748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349284747166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284748842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284770814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284770945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284771403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284773263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284774991
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284775420
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1349284776526
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1349284777072
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1349284777077
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1349284777081
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1349284777119
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1349284777120
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1349284777122
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1349284777123
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1349284777124
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1349284777125
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1349284777126
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1349284777128
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1349284777131
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1349284777133
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1349284777133
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1349284777135
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1349284777189
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1349284777193
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1349284777197
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1349284777199
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1349284777201
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1349284777206
